,FILE NAME,FORMAT,SIZE,URL
0,NORMAL-1,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
1,NORMAL-2,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
2,NORMAL-3,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
3,NORMAL-4,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
4,NORMAL-5,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
5,NORMAL-6,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
6,NORMAL-7,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
7,NORMAL-8,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
8,NORMAL-9,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
9,NORMAL-10,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
10,NORMAL-11,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
11,NORMAL-12,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
12,NORMAL-13,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
13,NORMAL-14,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
14,NORMAL-15,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
15,NORMAL-16,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
16,NORMAL-17,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
17,NORMAL-18,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
18,NORMAL-19,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
19,NORMAL-20,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
20,NORMAL-21,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
21,NORMAL-22,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
22,NORMAL-23,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
23,NORMAL-24,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
24,NORMAL-25,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
25,NORMAL-26,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
26,NORMAL-27,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
27,NORMAL-28,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
28,NORMAL-29,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
29,NORMAL-30,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
30,NORMAL-31,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
31,NORMAL-32,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
32,NORMAL-33,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
33,NORMAL-34,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
34,NORMAL-35,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
35,NORMAL-36,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
36,NORMAL-37,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
37,NORMAL-38,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
38,NORMAL-39,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
39,NORMAL-40,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
40,NORMAL-41,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
41,NORMAL-42,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
42,NORMAL-43,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
43,NORMAL-44,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
44,NORMAL-45,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
45,NORMAL-46,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
46,NORMAL-47,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
47,NORMAL-48,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
48,NORMAL-49,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
49,NORMAL-50,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
50,NORMAL-51,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
51,NORMAL-52,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
52,NORMAL-53,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
53,NORMAL-54,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
54,NORMAL-55,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
55,NORMAL-56,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
56,NORMAL-57,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
57,NORMAL-58,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
58,NORMAL-59,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
59,NORMAL-60,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
60,NORMAL-61,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
61,NORMAL-62,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
62,NORMAL-63,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
63,NORMAL-64,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
64,NORMAL-65,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
65,NORMAL-66,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
66,NORMAL-67,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
67,NORMAL-68,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
68,NORMAL-69,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
69,NORMAL-70,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
70,NORMAL-71,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
71,NORMAL-72,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
72,NORMAL-73,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
73,NORMAL-74,PNG,256*256,https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data
